,IF1,IF2,IF3,IF4,IF5,IF6,IF7,IF8,IF9,IF10,IF11,IF12,IF13,IF14,IF15,IF16,IF18,IF19,IF20,IF21,IF22,IF23,IF24,IF25,IF26,IF27,IF28,IF29,IF30,IF31,IF32,IF33,IF34,IF35,IF36,IF37,IF38,IF39,IF40,IF41,IF42,IF43,IF44,IF45,IF46,IF47,IF48,label
69,"[0.67, 1.5]","[0.67, 1.33]","[0.5, 1.0]","[0.5, 0.83]","[0.67, 1.0]","[0.5, 1.0]","[0.67, 0.83]","[0.5, 0.67]","[0.83, 1.33]","[1.17, 1.5]","[1.67, 1.83]","[1.67, 1.83]","[1.67, 2.17]","[1.83, 2.33]","[2.17, 3.5]","[2.33, 4.83]","[4.33, 8.0]","[3.17, 9.33]","[3.83, 8.67]","[4.83, 8.67]","[4.67, 8.83]","[5.67, 8.0]","[5.67, 7.17]","[4.67, 9.5]","[4.33, 6.33]","[4.5, 5.33]","[4.67, 5.17]","[5.83, 9.5]","[5.5, 9.67]","[8.0, 9.33]","[5.67, 7.0]","[4.5, 7.0]","[4.5, 6.5]","[5.17, 6.83]","[4.17, 8.67]","[4.33, 8.17]","[3.83, 7.17]","[3.33, 5.5]","[2.0, 2.83]","[2.33, 2.5]","[1.5, 2.33]","[0.83, 1.0]","[1.0, 1.67]","[0.83, 1.33]","[0.5, 0.67]","[0.67, 0.67]","[0.5, 0.83]",2
70,"[0.5, 0.83]","[0.5, 0.67]","[0.5, 0.83]","[0.33, 0.83]","[0.33, 0.67]","[0.5, 0.5]","[0.5, 0.83]","[0.5, 0.83]","[0.67, 1.0]","[1.0, 1.5]","[1.5, 1.5]","[1.67, 1.83]","[1.83, 2.5]","[1.67, 2.83]","[1.67, 4.0]","[2.67, 4.83]","[4.67, 7.33]","[2.83, 7.33]","[2.83, 3.33]","[3.17, 7.83]","[3.0, 5.17]","[3.67, 8.33]","[4.17, 8.0]","[4.83, 8.0]","[4.33, 7.67]","[2.67, 4.33]","[3.33, 3.67]","[5.17, 7.0]","[4.67, 7.5]","[5.5, 9.67]","[5.17, 7.83]","[4.0, 6.5]","[4.0, 6.83]","[4.33, 8.67]","[4.33, 8.17]","[6.67, 10.17]","[4.17, 6.0]","[4.0, 8.0]","[4.0, 8.0]","[6.17, 7.83]","[2.5, 7.67]","[1.33, 2.0]","[1.17, 1.33]","[1.0, 1.5]","[0.83, 1.17]","[0.83, 1.0]","[0.83, 0.83]",2
71,"[0.83, 0.83]","[0.83, 1.17]","[0.83, 0.83]","[0.83, 1.0]","[0.67, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[0.83, 1.0]","[1.0, 1.33]","[1.17, 1.83]","[1.67, 1.83]","[1.83, 2.17]","[1.83, 2.5]","[2.0, 3.33]","[1.83, 4.17]","[4.0, 7.0]","[4.33, 7.33]","[3.0, 6.67]","[3.17, 7.0]","[3.17, 7.0]","[3.83, 4.5]","[5.33, 7.67]","[4.33, 8.33]","[4.67, 8.5]","[2.83, 5.33]","[2.83, 8.17]","[3.5, 4.33]","[4.83, 7.0]","[6.33, 9.5]","[6.83, 10.0]","[6.67, 9.67]","[5.0, 7.5]","[5.33, 7.67]","[5.33, 7.83]","[4.0, 5.5]","[4.5, 8.5]","[3.67, 4.67]","[3.0, 6.83]","[2.17, 2.83]","[2.0, 5.5]","[1.33, 1.83]","[1.0, 1.33]","[1.0, 1.17]","[0.83, 1.33]","[0.83, 1.17]","[0.83, 0.83]","[0.67, 0.83]",1
72,"[0.83, 0.83]","[0.83, 1.0]","[0.83, 1.0]","[1.0, 1.17]","[0.67, 1.33]","[0.67, 1.0]","[0.67, 1.0]","[0.67, 0.83]","[1.0, 1.33]","[1.17, 1.67]","[1.67, 2.0]","[1.67, 2.17]","[1.5, 3.0]","[1.67, 2.5]","[1.17, 1.67]","[1.17, 1.33]","[1.33, 2.0]","[1.33, 2.5]","[2.17, 2.33]","[2.17, 2.5]","[2.0, 2.33]","[1.67, 2.33]","[1.83, 1.83]","[2.0, 2.17]","[1.33, 2.0]","[1.83, 2.83]","[1.83, 3.67]","[1.83, 3.5]","[1.0, 1.33]","[0.83, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 1.5]","[1.33, 1.5]","[1.33, 1.67]","[1.0, 1.83]","[0.5, 0.83]","[0.67, 1.0]","[0.67, 1.0]","[1.17, 1.67]","[0.67, 0.83]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.67, 0.83]",1
73,"[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.5, 0.5]","[0.67, 1.0]","[0.83, 1.5]","[1.5, 1.5]","[1.33, 1.5]","[1.0, 1.5]","[0.5, 1.33]","[0.5, 1.33]","[0.83, 1.0]","[1.0, 1.5]","[0.83, 1.17]","[1.17, 2.0]","[1.33, 1.33]","[0.83, 1.17]","[0.67, 1.5]","[0.83, 1.0]","[0.83, 0.83]","[1.0, 1.0]","[0.67, 1.17]","[1.17, 1.5]","[1.33, 1.83]","[0.83, 0.83]","[0.67, 1.0]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[0.5, 0.83]","[0.83, 1.5]","[1.17, 1.33]","[0.67, 1.17]","[0.5, 0.83]","[0.83, 1.0]","[0.5, 0.5]","[0.5, 0.67]","[0.5, 0.83]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]",2
74,"[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.5, 0.5]","[0.33, 0.5]","[0.67, 1.0]","[0.83, 1.0]","[0.83, 1.0]","[1.0, 1.17]","[1.0, 1.0]","[1.67, 2.33]","[1.5, 2.67]","[3.83, 6.5]","[3.17, 6.5]","[2.83, 7.83]","[4.0, 8.17]","[3.33, 4.0]","[4.33, 7.67]","[3.67, 9.17]","[4.5, 7.5]","[5.33, 6.5]","[4.0, 4.67]","[3.83, 7.0]","[4.17, 7.17]","[4.17, 4.83]","[3.33, 7.67]","[4.33, 10.17]","[4.67, 7.17]","[3.17, 5.33]","[5.83, 9.67]","[4.33, 8.83]","[4.17, 5.17]","[5.33, 9.0]","[5.17, 6.17]","[4.67, 7.0]","[2.17, 2.83]","[2.17, 3.0]","[1.83, 2.0]","[1.83, 2.33]","[1.67, 2.17]","[1.17, 1.83]","[1.33, 1.67]","[1.17, 1.33]","[1.33, 1.5]",2
75,"[1.33, 1.5]","[1.17, 1.33]","[1.17, 1.5]","[1.17, 1.33]","[1.33, 1.33]","[1.17, 1.33]","[1.17, 1.5]","[1.17, 1.33]","[1.5, 1.67]","[1.83, 2.33]","[2.17, 2.33]","[2.17, 2.5]","[2.33, 4.83]","[2.17, 5.0]","[2.5, 3.67]","[3.67, 4.67]","[3.33, 8.67]","[3.83, 7.67]","[2.83, 6.17]","[2.83, 7.67]","[3.83, 4.33]","[4.33, 9.17]","[4.83, 8.5]","[4.0, 8.0]","[3.33, 5.67]","[3.17, 4.17]","[3.5, 4.0]","[4.0, 4.67]","[2.67, 6.67]","[4.33, 8.33]","[2.5, 7.0]","[2.67, 6.67]","[2.5, 5.67]","[2.67, 3.17]","[3.0, 3.67]","[4.0, 7.33]","[3.17, 4.33]","[2.5, 3.67]","[2.17, 3.0]","[2.33, 2.5]","[1.33, 2.5]","[1.0, 1.5]","[0.83, 1.33]","[1.17, 1.83]","[0.83, 1.0]","[0.83, 1.17]","[0.83, 1.0]",2
76,"[0.67, 1.0]","[0.67, 0.67]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[0.83, 1.17]","[1.33, 2.0]","[1.67, 1.83]","[1.67, 2.0]","[1.83, 2.0]","[1.67, 2.17]","[1.67, 3.5]","[2.83, 4.33]","[3.67, 8.5]","[4.0, 7.5]","[3.5, 4.33]","[4.0, 9.33]","[5.67, 7.67]","[5.5, 7.67]","[5.67, 5.83]","[5.33, 9.0]","[4.17, 8.33]","[3.33, 4.33]","[3.5, 3.83]","[4.0, 6.33]","[3.33, 6.0]","[3.83, 4.83]","[3.5, 7.67]","[2.83, 5.67]","[2.67, 3.17]","[3.5, 6.17]","[2.83, 6.83]","[3.0, 5.0]","[3.33, 5.67]","[3.17, 6.67]","[2.5, 7.67]","[2.17, 2.67]","[1.0, 1.67]","[0.67, 1.17]","[0.83, 1.33]","[0.67, 1.33]","[0.5, 0.83]","[0.5, 0.67]","[0.33, 1.0]",2
77,"[0.5, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.5]","[0.5, 0.5]","[0.33, 0.67]","[0.67, 0.83]","[0.83, 1.67]","[1.5, 1.67]","[1.33, 2.0]","[1.5, 2.33]","[2.0, 2.33]","[2.17, 5.83]","[3.33, 4.0]","[4.17, 4.83]","[3.5, 4.5]","[4.33, 7.17]","[3.67, 7.17]","[4.67, 8.5]","[6.0, 7.5]","[4.33, 5.83]","[4.0, 8.0]","[3.83, 5.0]","[3.5, 4.5]","[4.0, 5.33]","[4.17, 7.83]","[4.0, 7.5]","[3.33, 4.33]","[2.67, 7.5]","[3.0, 5.67]","[3.5, 6.5]","[2.0, 6.33]","[3.0, 8.33]","[4.83, 8.17]","[4.17, 5.0]","[2.5, 3.83]","[2.17, 2.5]","[1.83, 2.67]","[1.33, 1.83]","[1.33, 1.83]","[0.83, 1.33]","[0.67, 1.67]","[0.33, 0.67]","[0.5, 0.67]","[0.5, 0.67]",2
78,"[0.5, 0.67]","[0.33, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.67]","[0.5, 0.5]","[0.33, 0.67]","[0.33, 0.67]","[0.5, 0.83]","[1.0, 1.33]","[1.5, 1.5]","[1.5, 1.5]","[1.33, 2.83]","[1.67, 2.5]","[1.83, 3.17]","[5.5, 8.67]","[4.5, 8.5]","[5.0, 8.67]","[4.17, 5.67]","[6.0, 9.67]","[5.67, 9.33]","[6.5, 10.5]","[4.5, 6.67]","[6.67, 7.83]","[5.5, 9.0]","[4.83, 7.83]","[3.5, 6.33]","[4.83, 11.83]","[3.5, 6.17]","[6.0, 7.33]","[4.5, 9.17]","[5.5, 8.5]","[4.67, 9.17]","[3.67, 8.33]","[4.17, 6.0]","[3.33, 8.0]","[3.17, 8.5]","[3.67, 6.33]","[2.83, 4.83]","[1.83, 4.5]","[1.67, 1.67]","[1.0, 1.83]","[0.67, 1.33]","[0.83, 1.17]","[0.5, 0.83]","[0.5, 1.0]","[0.5, 0.67]",1
79,"[0.5, 0.67]","[0.5, 0.83]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.5]","[0.5, 0.67]","[0.5, 0.67]","[0.67, 0.83]","[0.67, 1.33]","[0.83, 1.67]","[1.5, 1.67]","[1.5, 1.83]","[1.5, 1.67]","[1.0, 2.0]","[0.83, 2.5]","[0.83, 4.17]","[2.0, 2.5]","[2.17, 5.83]","[1.67, 6.5]","[1.83, 2.0]","[1.83, 1.83]","[1.83, 2.17]","[1.83, 5.67]","[2.0, 4.67]","[1.83, 2.17]","[2.0, 2.67]","[2.17, 2.83]","[1.83, 2.33]","[0.83, 1.33]","[1.17, 1.83]","[0.83, 2.0]","[1.0, 1.17]","[1.0, 1.0]","[0.83, 1.0]","[0.5, 0.5]","[0.83, 1.5]","[1.5, 1.5]","[0.5, 1.17]","[0.67, 1.17]","[0.67, 1.0]","[0.83, 1.17]","[0.83, 1.33]","[0.33, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]",1
80,"[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.33]","[0.33, 0.33]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.33]","[0.5, 0.83]","[0.83, 1.33]","[1.33, 1.5]","[1.33, 1.5]","[1.0, 1.17]","[0.5, 1.17]","[0.33, 0.83]","[0.33, 0.67]","[0.67, 1.33]","[0.5, 0.83]","[0.83, 1.5]","[0.67, 0.83]","[0.83, 2.33]","[1.0, 1.17]","[0.67, 0.83]","[0.67, 1.33]","[1.0, 1.33]","[0.83, 1.5]","[1.67, 1.83]","[1.5, 1.67]","[1.0, 1.5]","[0.5, 1.0]","[0.67, 1.0]","[0.67, 1.0]","[0.83, 1.17]","[1.0, 1.17]","[0.67, 1.0]","[0.83, 1.17]","[1.0, 1.17]","[0.5, 0.83]","[0.5, 0.67]","[0.67, 1.0]","[0.5, 0.83]","[0.67, 1.33]","[0.5, 0.83]","[0.33, 0.5]","[0.5, 0.67]","[0.33, 0.5]","[0.33, 0.5]",2
81,"[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.33]","[0.33, 0.5]","[0.33, 0.33]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.5, 0.83]","[0.83, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[0.83, 1.17]","[1.5, 2.67]","[2.0, 3.5]","[2.67, 8.67]","[4.83, 7.67]","[8.33, 10.5]","[6.67, 12.0]","[6.33, 10.67]","[6.83, 11.83]","[5.83, 9.0]","[4.33, 6.0]","[4.33, 7.83]","[4.5, 8.17]","[4.83, 8.5]","[3.5, 9.17]","[3.17, 6.33]","[3.83, 8.5]","[4.83, 8.33]","[4.17, 6.33]","[4.0, 8.0]","[3.33, 7.5]","[5.83, 7.83]","[4.17, 8.17]","[5.17, 7.33]","[5.5, 6.83]","[4.0, 9.0]","[3.17, 6.83]","[1.5, 1.67]","[1.5, 6.5]","[1.83, 2.67]","[1.5, 2.0]","[0.67, 1.67]","[0.67, 0.83]","[0.83, 1.17]","[0.5, 1.0]",2
82,"[0.5, 0.83]","[0.33, 0.83]","[0.5, 0.83]","[0.33, 0.5]","[0.5, 0.67]","[0.5, 0.67]","[0.33, 0.5]","[0.5, 0.67]","[0.67, 1.0]","[0.83, 1.5]","[1.5, 1.67]","[1.67, 2.17]","[1.67, 2.67]","[1.33, 2.33]","[1.5, 2.83]","[2.17, 2.67]","[4.67, 10.17]","[2.67, 3.5]","[2.17, 8.5]","[3.5, 5.83]","[3.17, 3.33]","[3.5, 6.67]","[3.5, 8.0]","[3.83, 8.83]","[4.5, 6.0]","[3.0, 4.17]","[3.67, 4.5]","[4.5, 9.0]","[3.5, 8.17]","[4.17, 5.67]","[5.5, 7.5]","[3.33, 4.5]","[3.67, 7.0]","[2.83, 3.83]","[2.67, 5.33]","[3.67, 6.17]","[3.5, 8.17]","[4.0, 5.5]","[2.17, 5.83]","[2.17, 2.33]","[1.5, 1.83]","[1.5, 1.83]","[1.17, 1.33]","[0.5, 1.17]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 1.0]",2
83,"[0.5, 0.67]","[0.5, 1.0]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.5]","[0.5, 0.67]","[0.5, 1.83]","[1.17, 1.5]","[1.33, 1.67]","[1.5, 1.67]","[1.83, 2.33]","[1.5, 2.33]","[1.5, 5.17]","[3.33, 6.83]","[4.0, 6.0]","[3.5, 10.17]","[5.17, 8.83]","[5.0, 5.5]","[4.67, 5.83]","[4.67, 7.17]","[6.0, 10.0]","[5.17, 6.5]","[5.5, 8.33]","[4.0, 5.67]","[4.67, 6.33]","[5.33, 6.33]","[5.17, 7.83]","[6.17, 8.0]","[4.17, 8.67]","[3.67, 7.5]","[3.5, 7.83]","[6.67, 11.17]","[7.67, 8.67]","[8.5, 13.5]","[8.5, 10.0]","[6.83, 11.67]","[2.83, 4.83]","[2.17, 3.0]","[1.83, 2.17]","[2.33, 2.67]","[2.0, 2.0]","[1.0, 1.5]","[0.83, 0.83]","[0.67, 0.83]","[0.67, 1.0]",2
84,"[0.67, 0.83]","[0.67, 0.83]","[0.5, 1.0]","[0.5, 0.67]","[0.67, 0.67]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.83, 1.17]","[1.17, 1.83]","[1.83, 2.0]","[1.67, 1.83]","[2.0, 2.83]","[2.33, 2.67]","[1.67, 2.83]","[2.5, 5.33]","[4.17, 7.17]","[4.0, 8.33]","[4.17, 7.5]","[5.0, 8.17]","[3.83, 5.33]","[3.83, 5.17]","[3.67, 6.83]","[3.83, 4.67]","[5.0, 6.17]","[5.17, 6.17]","[5.67, 6.33]","[9.33, 10.67]","[6.83, 12.67]","[5.33, 7.5]","[5.33, 6.5]","[4.5, 8.0]","[4.33, 8.83]","[4.17, 7.83]","[3.5, 4.83]","[7.33, 10.67]","[9.17, 10.0]","[3.5, 7.5]","[3.0, 3.33]","[2.5, 3.17]","[1.83, 2.5]","[2.0, 3.33]","[1.33, 1.83]","[0.83, 1.17]","[0.5, 0.83]","[0.5, 0.67]","[0.5, 0.67]",2
85,"[0.5, 0.67]","[0.33, 0.5]","[0.5, 0.5]","[0.33, 0.67]","[0.33, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.5]","[0.67, 1.0]","[1.0, 1.5]","[1.33, 1.5]","[1.5, 2.17]","[2.17, 3.33]","[2.17, 3.17]","[1.83, 5.67]","[2.67, 3.67]","[4.0, 9.33]","[3.5, 7.5]","[3.67, 5.5]","[4.33, 7.83]","[5.33, 7.5]","[3.83, 5.33]","[4.33, 7.17]","[3.33, 8.17]","[3.17, 5.5]","[4.67, 7.0]","[3.83, 7.0]","[4.33, 11.67]","[5.17, 7.83]","[3.83, 5.33]","[6.0, 8.67]","[4.67, 8.33]","[2.67, 7.17]","[4.17, 4.83]","[3.67, 8.67]","[4.83, 8.67]","[3.17, 5.83]","[1.83, 3.5]","[1.67, 4.5]","[1.5, 1.83]","[1.17, 1.5]","[1.33, 1.67]","[1.17, 1.83]","[1.17, 1.83]","[0.83, 1.0]","[0.67, 1.17]","[0.83, 1.0]",1
86,"[0.83, 1.17]","[1.0, 1.17]","[1.0, 1.17]","[0.67, 0.83]","[0.83, 1.0]","[0.67, 0.83]","[0.67, 1.0]","[0.83, 1.0]","[1.0, 1.33]","[1.17, 1.83]","[1.83, 1.83]","[1.83, 2.0]","[1.83, 2.67]","[1.0, 2.33]","[1.0, 2.0]","[1.33, 5.67]","[2.33, 4.17]","[2.67, 3.33]","[2.17, 2.67]","[2.33, 2.83]","[1.83, 2.5]","[3.67, 6.67]","[2.0, 7.17]","[2.5, 4.0]","[1.5, 2.5]","[2.67, 5.33]","[2.33, 2.67]","[2.33, 7.33]","[1.17, 3.17]","[1.0, 1.17]","[0.83, 1.0]","[0.83, 1.17]","[1.17, 1.17]","[0.67, 0.83]","[0.67, 0.83]","[1.17, 1.67]","[1.5, 1.83]","[0.83, 1.5]","[0.67, 1.17]","[0.83, 1.33]","[0.5, 1.0]","[0.83, 1.33]","[0.67, 0.83]","[0.5, 0.67]","[0.5, 0.83]","[0.5, 0.83]","[0.5, 0.67]",1
87,"[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.5]","[0.5, 0.5]","[0.5, 0.83]","[0.5, 0.5]","[0.5, 0.5]","[0.67, 0.83]","[1.0, 1.5]","[1.33, 1.5]","[1.5, 1.5]","[1.33, 1.83]","[0.67, 1.83]","[0.5, 1.17]","[0.5, 0.83]","[0.67, 1.17]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 2.0]","[0.83, 1.5]","[1.0, 1.17]","[0.83, 1.17]","[0.83, 0.83]","[0.83, 1.0]","[1.0, 1.33]","[1.33, 1.67]","[1.17, 1.5]","[0.83, 1.0]","[1.0, 1.17]","[0.67, 1.0]","[0.67, 0.83]","[0.83, 1.0]","[0.83, 1.0]","[0.67, 1.0]","[0.83, 1.33]","[1.17, 1.5]","[0.67, 1.17]","[0.67, 0.67]","[0.67, 1.0]","[0.83, 1.17]","[1.0, 1.0]","[1.0, 1.17]","[0.83, 1.0]","[0.83, 1.0]","[0.83, 1.0]","[0.83, 1.0]",2
88,"[0.83, 0.83]","[0.83, 0.83]","[0.67, 0.83]","[0.83, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 1.0]","[1.0, 1.17]","[1.17, 1.33]","[1.17, 1.33]","[1.17, 1.33]","[1.33, 2.17]","[1.83, 3.33]","[2.0, 5.33]","[2.83, 4.83]","[5.83, 7.83]","[5.33, 8.17]","[4.67, 10.17]","[4.67, 5.67]","[4.33, 7.33]","[5.17, 5.83]","[5.0, 6.33]","[5.0, 9.83]","[5.33, 5.83]","[4.0, 4.83]","[4.83, 8.17]","[4.5, 7.83]","[3.83, 7.5]","[7.17, 8.17]","[3.67, 4.33]","[4.0, 7.67]","[4.83, 5.33]","[2.83, 7.83]","[2.5, 3.0]","[4.17, 9.0]","[3.33, 6.83]","[2.67, 7.0]","[4.83, 6.67]","[2.33, 2.83]","[1.5, 2.67]","[1.67, 2.0]","[1.0, 1.17]","[0.5, 1.0]","[0.67, 1.0]","[0.5, 0.5]","[0.5, 0.83]",2
89,"[0.5, 0.67]","[0.5, 0.5]","[0.5, 0.67]","[0.33, 0.5]","[0.5, 1.33]","[0.33, 0.5]","[0.5, 0.67]","[0.33, 0.5]","[0.83, 1.0]","[1.17, 1.5]","[1.5, 1.5]","[1.67, 2.17]","[1.67, 2.33]","[1.67, 2.5]","[1.5, 3.33]","[2.5, 7.17]","[7.5, 8.33]","[3.17, 3.67]","[3.5, 6.67]","[3.17, 7.83]","[3.67, 8.33]","[3.67, 8.17]","[3.33, 8.0]","[3.67, 6.83]","[3.5, 6.5]","[5.0, 5.83]","[3.5, 4.17]","[4.33, 5.5]","[4.67, 7.67]","[6.0, 10.0]","[4.67, 9.5]","[3.33, 6.67]","[3.83, 6.83]","[3.0, 4.0]","[2.83, 3.33]","[3.83, 6.17]","[3.67, 6.67]","[2.17, 5.33]","[1.67, 2.67]","[1.83, 2.33]","[1.5, 2.0]","[1.33, 2.17]","[1.33, 1.83]","[0.83, 1.33]","[0.83, 0.83]","[0.67, 1.17]","[0.83, 0.83]",2
90,"[0.67, 1.17]","[0.67, 1.0]","[0.83, 1.0]","[0.67, 0.67]","[0.67, 0.67]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[1.0, 1.5]","[1.33, 1.67]","[1.5, 2.0]","[1.67, 2.0]","[1.67, 2.83]","[1.5, 2.67]","[1.67, 3.5]","[3.0, 5.0]","[4.17, 7.0]","[5.83, 8.33]","[4.17, 6.83]","[4.67, 8.33]","[4.33, 9.33]","[4.33, 6.0]","[4.33, 5.83]","[3.83, 7.67]","[4.17, 4.33]","[3.17, 6.67]","[4.0, 4.5]","[4.83, 7.17]","[3.17, 7.67]","[4.67, 5.5]","[3.33, 4.67]","[4.17, 5.5]","[4.5, 8.0]","[3.83, 5.0]","[3.0, 3.83]","[3.67, 4.33]","[3.33, 4.0]","[3.0, 3.33]","[2.33, 2.67]","[1.83, 2.5]","[1.33, 1.83]","[0.83, 1.17]","[1.0, 1.33]","[0.67, 1.0]","[0.33, 0.83]","[0.5, 0.67]","[0.67, 0.67]",2
91,"[0.5, 0.67]","[0.33, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.33, 0.33]","[0.33, 0.67]","[0.33, 0.5]","[0.33, 0.67]","[0.67, 0.83]","[0.83, 1.33]","[1.5, 1.67]","[1.67, 1.83]","[1.67, 2.0]","[1.33, 2.67]","[1.83, 2.83]","[3.0, 4.83]","[3.5, 8.0]","[4.0, 5.33]","[5.67, 10.33]","[5.5, 10.17]","[5.33, 9.17]","[5.83, 10.33]","[3.33, 5.5]","[4.0, 6.5]","[3.67, 8.83]","[2.67, 3.17]","[3.17, 4.33]","[4.17, 5.17]","[3.17, 6.17]","[3.5, 7.83]","[3.5, 7.17]","[3.83, 6.5]","[2.5, 7.5]","[3.67, 6.5]","[4.17, 7.33]","[3.5, 8.33]","[3.17, 3.33]","[2.33, 7.83]","[2.5, 6.0]","[2.33, 2.67]","[1.83, 3.83]","[1.33, 2.33]","[1.0, 1.17]","[1.0, 1.5]","[0.83, 1.17]","[0.83, 1.33]","[0.83, 0.83]",2
92,"[0.83, 0.83]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 1.17]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 1.17]","[0.67, 0.83]","[1.0, 1.17]","[1.17, 1.67]","[1.83, 1.83]","[1.83, 2.33]","[1.83, 2.5]","[1.67, 2.17]","[1.67, 3.33]","[3.33, 4.67]","[5.17, 6.0]","[3.5, 5.83]","[3.83, 9.0]","[4.0, 5.5]","[3.83, 4.5]","[4.17, 4.83]","[4.5, 7.33]","[2.83, 3.5]","[2.67, 3.33]","[2.83, 4.17]","[3.17, 4.33]","[5.0, 10.0]","[3.17, 5.17]","[3.5, 3.67]","[3.0, 3.83]","[3.67, 4.5]","[3.0, 4.67]","[3.5, 4.0]","[2.67, 3.83]","[3.17, 4.67]","[3.67, 5.0]","[2.17, 3.0]","[1.5, 2.0]","[1.33, 1.67]","[0.83, 1.17]","[0.67, 1.0]","[0.67, 0.83]","[0.67, 1.0]","[0.5, 0.83]","[0.5, 0.67]","[0.5, 0.5]",1
93,"[0.5, 0.5]","[0.5, 0.83]","[0.33, 0.5]","[0.33, 0.5]","[0.33, 0.67]","[0.5, 0.5]","[0.5, 0.67]","[0.5, 0.67]","[0.83, 1.33]","[1.0, 1.67]","[1.5, 2.0]","[1.67, 3.5]","[1.67, 2.67]","[0.83, 1.67]","[1.17, 1.33]","[0.67, 1.33]","[1.33, 1.83]","[1.67, 1.83]","[1.5, 1.83]","[1.17, 2.0]","[1.83, 2.17]","[2.17, 2.33]","[1.67, 2.17]","[1.33, 1.83]","[1.5, 1.83]","[2.0, 2.67]","[2.17, 2.33]","[1.5, 2.17]","[1.0, 1.33]","[0.83, 0.83]","[0.83, 1.0]","[0.67, 1.0]","[0.83, 1.0]","[0.83, 1.0]","[0.83, 1.0]","[1.33, 1.5]","[1.33, 1.5]","[0.83, 1.33]","[0.83, 1.0]","[1.0, 1.0]","[0.83, 1.0]","[0.83, 1.17]","[1.0, 1.17]","[0.83, 1.0]","[0.83, 1.17]","[0.83, 1.0]","[0.83, 1.0]",1
94,"[0.83, 0.83]","[0.83, 1.0]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.67, 0.83]","[0.83, 1.17]","[1.17, 1.67]","[1.67, 1.83]","[1.67, 1.83]","[1.33, 1.5]","[0.83, 1.5]","[0.83, 1.17]","[0.83, 1.17]","[0.83, 1.0]","[0.83, 1.0]","[1.0, 1.17]","[1.17, 1.17]","[1.17, 1.33]","[1.17, 1.5]","[1.17, 1.33]","[1.33, 1.33]","[1.33, 1.83]","[1.33, 1.67]","[1.5, 1.83]","[1.5, 1.83]","[1.0, 1.0]","[0.83, 1.0]","[1.17, 1.33]","[1.0, 1.33]","[1.0, 1.17]","[1.0, 1.17]","[1.0, 1.17]","[1.17, 1.33]","[1.5, 1.67]","[0.5, 1.67]","[0.5, 0.83]","[0.67, 1.33]","[0.67, 0.83]","[0.5, 0.67]","[0.5, 0.67]","[0.5, 0.5]","[0.5, 0.67]","[0.33, 0.5]","[0.33, 0.67]",2
